ID Orden Fabricacion;Maquina;T.Lanzamiento;T.Inicio;T.Preparacion;T.Duracion;T.Plazo;Diferencia Adelanto Retraso;Estado

Mejor Plan

OF-pd04;m2;0;0;70;17600;11040;6630;Atrasado
OF-pd02;m2;2880;17670;20;4620;27240;-;En Plazo
OF-pd05;m2;2880;22310;50;14040;26640;9760;Atrasado
OF-pd09;m2;5760;36400;80;8100;23220;21360;Atrasado
OF-pd06;m3;1440;1440;30;2380;15420;-;En Plazo
OF-pd07;m5;0;0;80;11700;25380;-;En Plazo
OF-pd00;m5;8640;11780;40;7820;30120;-;En Plazo
OF-pd01;m5;8640;19640;50;7360;27240;-;En Plazo
OF-pd03;m5;8640;27050;40;9000;24840;11250;Atrasado
OF-pd08;m5;4320;36090;70;7350;22260;21250;Atrasado

Planes Alternativos

OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd02;m2;2880;17670;20;4620;27240;-;En Plazo
OF-pd08;m2;4320;39980;70;8050;22260;25840;Atrasado
OF-pd09;m2;5760;88080;80;8100;23220;73040;Atrasado
OF-pd01;m2;8640;184340;50;13800;27240;170950;Atrasado
OF-pd07;m3;0;0;80;6630;25380;-;En Plazo
OF-pd06;m3;1440;6710;30;2380;15420;-;En Plazo
OF-pd05;m3;2880;15830;50;3240;26640;-;En Plazo
OF-pd03;m3;8640;34950;40;5100;24840;15250;Atrasado
OF-pd00;m3;8640;75040;40;25300;30120;70260;Atrasado

OF-pd07;m5;0;0;80;11700;25380;-;En Plazo
OF-pd00;m5;8640;11780;40;7820;30120;-;En Plazo
OF-pd02;m5;2880;31420;20;3520;27240;7720;Atrasado
OF-pd08;m5;4320;66380;70;7350;22260;51540;Atrasado
OF-pd05;m5;2880;140180;50;3960;26640;117550;Atrasado
OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd06;m2;1440;17670;30;6120;15420;8400;Atrasado
OF-pd09;m2;5760;41490;80;8100;23220;26450;Atrasado
OF-pd01;m2;8640;91160;50;13800;27240;77770;Atrasado
OF-pd03;m2;8640;196170;40;23100;24840;194470;Atrasado

OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd06;m2;1440;17670;30;6120;15420;8400;Atrasado
OF-pd09;m2;5760;41490;80;8100;23220;26450;Atrasado
OF-pd05;m2;2880;91160;50;14040;26640;78610;Atrasado
OF-pd01;m2;8640;196410;50;13800;27240;183020;Atrasado
OF-pd07;m3;0;0;80;6630;25380;-;En Plazo
OF-pd08;m3;4320;6710;70;4200;22260;-;En Plazo
OF-pd03;m3;8640;17690;40;5100;24840;-;En Plazo
OF-pd02;m3;2880;40520;20;3080;27240;16380;Atrasado
OF-pd00;m3;8640;84140;40;25300;30120;79360;Atrasado

OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd06;m2;1440;17670;30;6120;15420;8400;Atrasado
OF-pd08;m2;4320;41490;70;8050;22260;27350;Atrasado
OF-pd02;m2;2880;91100;20;4620;27240;68500;Atrasado
OF-pd01;m2;8640;186840;50;13800;27240;173450;Atrasado
OF-pd07;m3;0;0;80;6630;25380;-;En Plazo
OF-pd09;m3;5760;6710;80;21600;23220;-;En Plazo
OF-pd03;m3;8640;35100;40;5100;24840;15400;Atrasado
OF-pd05;m3;2880;75340;50;3240;26640;51990;Atrasado
OF-pd00;m3;8640;153970;40;25300;30120;149190;Atrasado

OF-pd07;m5;0;0;80;11700;25380;-;En Plazo
OF-pd03;m5;8640;11780;40;9000;24840;-;En Plazo
OF-pd08;m5;4320;32600;70;7350;22260;17760;Atrasado
OF-pd01;m5;8640;72620;50;7360;27240;52790;Atrasado
OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd00;m2;8640;17670;40;32200;30120;-;En Plazo
OF-pd05;m2;2880;67580;50;14040;26640;55030;Atrasado
OF-pd09;m2;5760;149250;80;8100;23220;134210;Atrasado
OF-pd06;m3;1440;1440;30;2380;15420;-;En Plazo
OF-pd02;m3;2880;5290;20;3080;27240;-;En Plazo

OF-pd04;m2;0;0;70;17600;11040;-;En Plazo
OF-pd00;m2;8640;17670;40;32200;30120;-;En Plazo
OF-pd03;m2;8640;67580;40;23100;24840;65880;Atrasado
OF-pd05;m2;2880;158300;50;14040;26640;145750;Atrasado
OF-pd07;m3;0;0;80;6630;25380;-;En Plazo
OF-pd09;m3;5760;6710;80;21600;23220;-;En Plazo
OF-pd01;m3;8640;35100;50;36800;27240;-;En Plazo
OF-pd08;m3;4320;107050;70;4200;22260;89060;Atrasado
OF-pd06;m4;1440;1440;30;3060;15420;-;En Plazo
OF-pd02;m4;2880;5970;20;2640;27240;-;En Plazo

OF-pd04;m5;0;0;70;6400;11040;-;En Plazo
OF-pd02;m5;2880;6470;20;3520;27240;-;En Plazo
OF-pd05;m5;2880;16480;50;3960;26640;-;En Plazo
OF-pd09;m5;5760;36970;80;4320;23220;18150;Atrasado
OF-pd00;m5;8640;78340;40;7820;30120;56080;Atrasado
OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd06;m2;1440;30110;30;6120;15420;20840;Atrasado
OF-pd08;m2;4320;66370;70;8050;22260;52230;Atrasado
OF-pd01;m2;8640;140860;50;13800;27240;127470;Atrasado
OF-pd03;m2;8640;295570;40;23100;24840;293870;Atrasado

OF-pd04;m5;0;0;70;6400;11040;-;En Plazo
OF-pd08;m5;4320;6470;70;7350;22260;-;En Plazo
OF-pd03;m5;8640;20360;40;9000;24840;-;En Plazo
OF-pd01;m5;8640;49760;50;7360;27240;29930;Atrasado
OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd00;m2;8640;30110;40;32200;30120;-;En Plazo
OF-pd05;m2;2880;92460;50;14040;26640;79910;Atrasado
OF-pd09;m2;5760;199010;80;8100;23220;183970;Atrasado
OF-pd06;m3;1440;1440;30;2380;15420;-;En Plazo
OF-pd02;m3;2880;5290;20;3080;27240;-;En Plazo

OF-pd04;m5;0;0;70;6400;11040;-;En Plazo
OF-pd08;m5;4320;6470;70;7350;22260;-;En Plazo
OF-pd03;m5;8640;20360;40;9000;24840;-;En Plazo
OF-pd09;m5;5760;49760;80;4320;23220;30940;Atrasado
OF-pd01;m5;8640;103920;50;7360;27240;84090;Atrasado
OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd06;m2;1440;30110;30;6120;15420;20840;Atrasado
OF-pd02;m2;2880;66370;20;4620;27240;43770;Atrasado
OF-pd05;m2;2880;137380;50;14040;26640;124830;Atrasado
OF-pd00;m2;8640;288850;40;32200;30120;290970;Atrasado

OF-pd04;m5;0;0;70;6400;11040;-;En Plazo
OF-pd06;m5;1440;6470;30;4080;15420;-;En Plazo
OF-pd09;m5;5760;17050;80;4320;23220;-;En Plazo
OF-pd05;m5;2880;38500;50;3960;26640;15870;Atrasado
OF-pd01;m5;8640;81010;50;7360;27240;61180;Atrasado
OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd08;m2;4320;30110;70;8050;22260;15970;Atrasado
OF-pd03;m2;8640;68340;40;23100;24840;66640;Atrasado
OF-pd02;m2;2880;159820;20;4620;27240;137220;Atrasado
OF-pd00;m2;8640;324280;40;32200;30120;326400;Atrasado

OF-pd04;m4;0;0;70;7200;11040;-;En Plazo
OF-pd06;m4;1440;7270;30;3060;15420;-;En Plazo
OF-pd03;m4;8640;17630;40;5700;24840;-;En Plazo
OF-pd00;m4;8640;41000;40;5980;30120;16900;Atrasado
OF-pd01;m4;8640;88020;50;4600;27240;65430;Atrasado
OF-pd07;m1;0;0;80;28080;25380;-;En Plazo
OF-pd08;m1;4320;28160;70;6300;22260;12270;Atrasado
OF-pd02;m1;2880;62690;20;2640;27240;38110;Atrasado
OF-pd09;m1;5760;128040;80;6750;23220;111650;Atrasado
OF-pd05;m1;2880;262910;50;11160;26640;247480;Atrasado

OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd02;m2;2880;30110;20;4620;27240;-;En Plazo
OF-pd01;m2;8640;64860;50;13800;27240;51470;Atrasado
OF-pd03;m2;8640;143570;40;23100;24840;141870;Atrasado
OF-pd04;m3;0;0;70;9200;11040;-;En Plazo
OF-pd00;m3;8640;9270;40;25300;30120;-;En Plazo
OF-pd05;m3;2880;43880;50;3240;26640;20530;Atrasado
OF-pd09;m3;5760;91050;80;21600;23220;89510;Atrasado
OF-pd06;m4;1440;1440;30;3060;15420;-;En Plazo
OF-pd08;m4;4320;5970;70;5250;22260;-;En Plazo

OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd00;m2;8640;30110;40;32200;30120;-;En Plazo
OF-pd01;m2;8640;92460;50;13800;27240;79070;Atrasado
OF-pd03;m2;8640;198770;40;23100;24840;197070;Atrasado
OF-pd04;m3;0;0;70;9200;11040;-;En Plazo
OF-pd02;m3;2880;9270;20;3080;27240;-;En Plazo
OF-pd05;m3;2880;21640;50;3240;26640;-;En Plazo
OF-pd09;m3;5760;46570;80;21600;23220;45030;Atrasado
OF-pd06;m4;1440;1440;30;3060;15420;-;En Plazo
OF-pd08;m4;4320;5970;70;5250;22260;-;En Plazo

OF-pd04;m4;0;0;70;7200;11040;-;En Plazo
OF-pd02;m4;2880;7270;20;2640;27240;-;En Plazo
OF-pd09;m4;5760;17200;80;2700;23220;-;En Plazo
OF-pd05;m4;2880;37180;50;3600;26640;14190;Atrasado
OF-pd03;m4;8640;78010;40;5700;24840;58910;Atrasado
OF-pd07;m1;0;0;80;28080;25380;-;En Plazo
OF-pd06;m1;1440;28160;30;4420;15420;17190;Atrasado
OF-pd08;m1;4320;60770;70;6300;22260;44880;Atrasado
OF-pd01;m1;8640;127910;50;11500;27240;112220;Atrasado
OF-pd00;m1;8640;267370;40;32660;30120;269950;Atrasado

OF-pd07;m2;0;0;80;30030;25380;-;En Plazo
OF-pd00;m2;8640;30110;40;32200;30120;-;En Plazo
OF-pd03;m2;8640;92460;40;23100;24840;90760;Atrasado
OF-pd05;m2;2880;208060;50;14040;26640;195510;Atrasado
OF-pd04;m3;0;0;70;9200;11040;-;En Plazo
OF-pd01;m3;8640;9270;50;36800;27240;-;En Plazo
OF-pd09;m3;5760;55390;80;21600;23220;53850;Atrasado
OF-pd08;m3;4320;132460;70;4200;22260;114470;Atrasado
OF-pd06;m4;1440;1440;30;3060;15420;-;En Plazo
OF-pd02;m4;2880;5970;20;2640;27240;-;En Plazo

OF-pd04;m1;0;0;70;12800;11040;-;En Plazo
OF-pd02;m1;2880;12870;20;2640;27240;-;En Plazo
OF-pd06;m1;1440;28400;30;4420;15420;17430;Atrasado
OF-pd08;m1;4320;61250;70;6300;22260;45360;Atrasado
OF-pd03;m1;8640;128870;40;21600;24840;125670;Atrasado
OF-pd07;m5;0;0;80;11700;25380;-;En Plazo
OF-pd05;m5;2880;11780;50;3960;26640;-;En Plazo
OF-pd09;m5;5760;27570;80;4320;23220;-;En Plazo
OF-pd01;m5;8640;59540;50;7360;27240;39710;Atrasado
OF-pd00;m5;8640;126490;40;7820;30120;104230;Atrasado

OF-pd04;m1;0;0;70;12800;11040;-;En Plazo
OF-pd06;m1;1440;12870;30;4420;15420;-;En Plazo
OF-pd09;m1;5760;30190;80;6750;23220;13800;Atrasado
OF-pd05;m1;2880;67210;50;11160;26640;51780;Atrasado
OF-pd01;m1;8640;145630;50;11500;27240;129940;Atrasado
OF-pd07;m5;0;0;80;11700;25380;-;En Plazo
OF-pd08;m5;4320;11780;70;7350;22260;-;En Plazo
OF-pd03;m5;8640;30980;40;9000;24840;-;En Plazo
OF-pd02;m5;2880;71000;20;3520;27240;47300;Atrasado
OF-pd00;m5;8640;145540;40;7820;30120;123280;Atrasado

OF-pd04;m4;0;0;70;7200;11040;-;En Plazo
OF-pd08;m4;4320;7270;70;5250;22260;-;En Plazo
OF-pd03;m4;8640;19860;40;5700;24840;-;En Plazo
